epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.6957961485290527,0.34792,1.333049659538269,0.4979,4.849970995914191
2,1.1068216593933105,0.60044,0.9543146305084228,0.6616,4.400764038320631
3,0.8121961827087403,0.71244,0.8489664733886719,0.7098,4.369015280157328
4,0.6359989728164673,0.77866,0.7708681945800782,0.7411,4.2968281540088356
5,0.4931691933631897,0.83086,0.7792621904850006,0.7455,4.365212817210704
6,0.3633007314300537,0.87566,0.781186660861969,0.7587,4.345602850895375
7,0.2730490870857239,0.9077,0.819140534877777,0.7721,4.438506423961371
8,0.19845290204048158,0.9319,0.7946671750545502,0.7796,4.3887891308404505
9,0.14537427635669709,0.95146,0.9160568739891052,0.7733,4.3704332071356475
10,0.11454266923427582,0.9609,0.9358341760635376,0.7778,4.3909176853485405
11,0.09526362795352936,0.96776,1.0891091316223145,0.7744,4.442017627879977
12,0.0788378358912468,0.97402,1.077570316028595,0.7762,4.4067093399353325
13,0.08050360177814961,0.97392,1.0649236440181733,0.7686,4.347623719833791
14,0.06345417230129242,0.97926,1.0999308457374573,0.784,4.369452651124448
15,0.062262128829956055,0.97908,1.161030420398712,0.7828,4.401091413106769
16,0.05910273374795914,0.98056,1.2183262055397033,0.7733,4.3740492248907685
17,0.06030662953257561,0.9812,1.0221814197540284,0.7765,4.362358613405377
18,0.05270244226694107,0.98272,1.163501271533966,0.7708,4.383234792854637
19,0.05002434807777405,0.98434,1.253777546787262,0.778,4.656037338078022
20,0.04527274954915047,0.98502,1.238027052116394,0.7801,4.439573897048831
