epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.3073549645805358,0.52138,1.0949666877746582,0.6175,5.422484625596553
2,0.8188504738998413,0.7164,0.7997472396850586,0.728,5.008283291012049
3,0.6177235648727417,0.78914,0.6723569124698638,0.7712,4.911552369128913
4,0.4868249016571045,0.83512,0.6454519989013672,0.7815,4.874179687350988
5,0.3763096057128906,0.87266,0.7409646532058716,0.7651,4.856350929941982
6,0.2987288334846497,0.89858,0.6226447189331055,0.8017,4.860642699059099
7,0.22355369827747346,0.92492,0.6534404505252838,0.8061,4.862672400195152
8,0.16776949010133743,0.94324,0.6464183881759643,0.8139,4.892555078025907
9,0.12955520986080168,0.95596,0.6403038861274719,0.8253,4.9204890499822795
10,0.1097276371383667,0.96338,0.6867126411437988,0.8165,4.867060175631195
11,0.08965546105146407,0.97058,0.6956532338142395,0.8212,4.8340541631914675
12,0.07120515448570251,0.97598,0.6914832419395447,0.8335,4.811097554862499
13,0.06881543262958527,0.97682,0.7700725613594055,0.832,4.866211666259915
14,0.05306641242146492,0.982,0.8302950172424316,0.8149,4.848721939139068
15,0.052264386011958125,0.9827,0.8485612675666809,0.816,4.880860968027264
16,0.05274406661391258,0.9827,0.7855115398406982,0.8297,4.890630170237273
17,0.04473534687638283,0.98504,0.8420336643218994,0.8364,4.909906093031168
18,0.04109774785518646,0.98632,0.8539711652755737,0.8207,4.72924627084285
19,0.04022094834752381,0.98652,0.7950824295043946,0.8396,4.893739196006209
20,0.03548171910956502,0.98912,0.7709754545211792,0.8373,4.8919838620349765
