epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.365097734336853,0.4942,1.2366615827560425,0.5721,5.51438266178593
2,0.8721885180282593,0.69174,0.9297047068595886,0.6872,5.171804875135422
3,0.6685100424385071,0.7684,0.6850295644760132,0.7604,5.08450936479494
4,0.5396133005142212,0.81468,0.7122908536911011,0.7638,5.082266147714108
5,0.4327703371810913,0.85256,0.6279310683727264,0.7853,5.055947294924408
6,0.35013321573257444,0.88054,0.7901177896499634,0.7589,5.046406562905759
7,0.2766856080770492,0.90464,0.7166151084899902,0.7892,5.039870586246252
8,0.2143327452659607,0.92786,0.6364284202575684,0.8161,5.093777520116419
9,0.17393847274780275,0.94212,0.6651387592315674,0.8142,5.004311413969845
10,0.13607435041308402,0.95386,0.845358152961731,0.7848,4.969781101215631
11,0.1176062984776497,0.95984,0.6955119487762451,0.81,5.080164671875536
12,0.09277239459753037,0.96888,0.7260313306808471,0.8324,5.001410415396094
13,0.08071236820936203,0.9732,0.7488826078414917,0.8273,5.030593814793974
14,0.06267606912255287,0.97874,0.7923755918502807,0.8241,5.216988981701434
15,0.06520314111471176,0.97818,0.8331024829387664,0.8164,5.077212345320731
16,0.06033896659374237,0.97938,0.886256133556366,0.8273,5.020121845882386
17,0.05452457445859909,0.98188,0.8281949529647827,0.8183,4.970710551831871
18,0.050380836502909664,0.9835,0.8781207389831543,0.8237,5.00176220620051
19,0.04606386833667755,0.9847,0.9639777973175049,0.7953,5.0255001513287425
20,0.04155502823829651,0.98624,0.9035017157554627,0.8257,4.968243333045393
