epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.3630070276069641,0.5005,1.165456420135498,0.5904,5.3497578161768615
2,0.8848880903434754,0.68958,0.8835410220146179,0.6983,4.926612025126815
3,0.6856069693756104,0.7621,0.7035687512397766,0.7606,4.889208496082574
4,0.5646488176345825,0.80552,0.7164688773155212,0.7549,5.068988186772913
5,0.45421662903785703,0.84452,0.7074842816352844,0.7729,4.891701651737094
6,0.3815107818222046,0.86958,0.6617436831474304,0.7869,4.994819285813719
7,0.3060738079071045,0.89586,0.7063627634525299,0.7832,4.991312209982425
8,0.24747331527709962,0.91422,0.6071639843940735,0.8182,4.916254541836679
9,0.19596091989517211,0.933,0.7165102701187134,0.8004,4.970480102114379
10,0.16233910460948944,0.94498,0.6780327641487122,0.8065,4.968628346920013
11,0.13142433587551117,0.95506,0.7721956829071045,0.806,4.903148153796792
12,0.1052043232679367,0.96506,0.7977026014328003,0.8177,4.952042720280588
13,0.09458965161323547,0.96744,0.7829484414100647,0.8138,5.0341547429561615
14,0.07835013016700744,0.97294,0.9383871856689453,0.811,4.88575237756595
15,0.07082517318487168,0.97622,0.8784273008346558,0.8131,4.929201217833906
16,0.07027090553402901,0.97584,0.8613513288497925,0.8246,4.928366795182228
17,0.05998210742354393,0.9799,0.8906436828613281,0.8213,4.964303923305124
18,0.055509433041661976,0.98112,0.8300772046089172,0.8254,4.914395790081471
19,0.053144579669833186,0.98204,0.9119098670959472,0.822,4.865385584067553
20,0.04937419542878866,0.984,0.8618945201873779,0.8194,4.868779634125531
