epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.3092534512329101,0.51952,1.1402998685836792,0.5983,5.5399101241491735
2,0.8175720199775696,0.71694,0.8235618124961853,0.7273,5.0156590337865055
3,0.6179178175926209,0.7883,0.6281375588417053,0.7856,5.105502786114812
4,0.49089932664871216,0.83172,0.6110090918540955,0.7972,5.068972671870142
5,0.375166711025238,0.87214,0.6878346866607666,0.7799,5.1412763320840895
6,0.3017989128112793,0.89606,0.6405866241455078,0.8037,5.241452314890921
7,0.22223752898693086,0.92404,0.6853727078437806,0.7979,5.230983907356858
8,0.16973714445352556,0.94248,0.6407641067504882,0.8194,5.155824021901935
9,0.1298122591638565,0.95562,0.6601977750778198,0.8252,5.084510107059032
10,0.1001363708114624,0.96606,0.7387239580154419,0.8175,5.020697312429547
11,0.09117735333919526,0.96924,0.6857435350418091,0.827,5.105825377162546
12,0.07538431657314301,0.97476,0.7236426517486573,0.8287,5.146068976726383
13,0.06437529158234596,0.97878,0.8063970015525818,0.8263,5.118742051068693
14,0.054181108855009076,0.982,0.7270959364891052,0.8346,5.015643356833607
15,0.05236181491851807,0.98208,0.7276181974887848,0.8357,4.886777500156313
16,0.04991328253149986,0.98448,0.8483073949813843,0.8303,4.945419056806713
17,0.0446438433817029,0.9859,0.8210135217666626,0.8278,5.127635217271745
18,0.041460770354866984,0.9859,0.8988578899383545,0.8297,5.215851003304124
19,0.03604052649293095,0.9884,0.8216391920089722,0.8366,5.059903456829488
20,0.03599757807612419,0.9882,0.9285406879425049,0.8169,5.315781869925559
