epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.8575544538116455,0.26774,1.4930149990081787,0.4314,5.437265902757645
2,1.300232209587097,0.51322,1.2691606367111206,0.5559,5.010592910926789
3,0.9514362873649597,0.66192,0.9483009912490845,0.6711,4.927312130108476
4,0.752948830165863,0.73836,0.8137723801612854,0.7212,4.994301755912602
5,0.6103566887283325,0.79166,0.7342916435718536,0.7534,5.09254861716181
6,0.5007514377975464,0.82954,0.7073185410022735,0.7685,4.791134038940072
7,0.4034503292655945,0.86272,0.9164059133052825,0.7431,4.98003736557439
8,0.32620609665870665,0.8902,0.6356691931724548,0.8028,5.2151594827882946
9,0.26517711140632627,0.91178,0.6913119576454163,0.7981,5.191109465900809
10,0.20378890147686005,0.93218,0.7777987767219543,0.7809,5.017831261269748
11,0.1655658461523056,0.94492,0.6716683430671692,0.816,4.972422707825899
12,0.1291110874414444,0.9571,0.7414019469261169,0.813,5.004386369138956
13,0.1056424428153038,0.9651,0.7152875143766403,0.823,5.02049076044932
14,0.08650791235685348,0.97136,0.7639143863677978,0.8223,5.018100762274116
15,0.07600825620889663,0.97452,0.7578945027828217,0.823,5.101932118181139
16,0.06987744849205017,0.97656,0.8139065164566041,0.8305,4.912376600783318
17,0.06520271117210388,0.97838,0.9045835000991821,0.8067,5.0079288189299405
18,0.05690448172807693,0.98148,0.8221403449296951,0.8263,5.12010791990906
19,0.052979885894060136,0.98306,0.8833039301872253,0.8211,5.006380258128047
20,0.0471638147765398,0.98406,0.869252543926239,0.8192,5.080111883115023
