epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.5474712406539917,0.43516,1.3250810235977173,0.5246,3.1143823550082743
2,1.2022018033981323,0.5712,1.1368539764404297,0.6005,2.7822915171273053
3,1.0403199793243407,0.63286,1.0027903448104858,0.6479,2.745749447029084
4,0.938032086353302,0.67208,1.0217055042266845,0.6388,2.7875598347745836
5,0.8600738069534302,0.69762,0.9195659906387329,0.6811,2.764385578222573
6,0.7903891257095337,0.72262,0.9214790201187134,0.6799,2.776602966710925
7,0.7351182972335816,0.74092,0.8983045113563538,0.6972,2.7680661561898887
8,0.6784014944839477,0.76028,0.9528044498443603,0.6844,2.7552415835671127
9,0.626335281791687,0.7781,0.8913669776916504,0.7027,2.845163922291249
10,0.5746919909095765,0.79886,0.9220909176826477,0.6982,2.741088844835758
11,0.5249540448093414,0.81656,0.9445406749725341,0.7011,2.761717952787876
12,0.48066799783706665,0.83084,0.9396515371322632,0.7024,2.8212965289130807
13,0.4345352516555786,0.8481,0.9857529418945312,0.692,2.812935553956777
14,0.39687944024085997,0.85924,1.0555065649032593,0.6942,2.79626475693658
15,0.35283648666381834,0.87688,1.0770600702285766,0.6921,2.79064847715199
16,0.3163192550754547,0.8885,1.1365926876068115,0.6921,2.9022619547322392
17,0.27801119082450865,0.90272,1.2268726734161377,0.6864,2.74985752440989
18,0.2471166766166687,0.91524,1.332592264175415,0.6743,2.8151337821036577
19,0.22563993281364442,0.92016,1.3972788650512695,0.6818,2.760326384101063
20,0.2069239988231659,0.92712,1.480055542755127,0.6818,2.7651949720457196
