epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.2058204350090027,0.56234,1.0041113170623779,0.6552,5.56404654821381
2,0.7559501893424988,0.73556,0.8003166047096253,0.7319,5.092251759022474
3,0.5758569214820862,0.79986,0.6763342140197753,0.769,5.186206019017845
4,0.45836567699432373,0.84224,0.6713280858039856,0.7837,5.093354198150337
5,0.35678779004096983,0.87686,0.7461487524986267,0.7579,5.1472159321419895
6,0.2792172178268433,0.90354,0.6879276149749756,0.7914,5.073782158084214
7,0.20980305822610856,0.9273,0.6931497852325439,0.7919,5.10443895496428
8,0.1627011013031006,0.94462,0.6721952310562134,0.8051,5.065207255072892
9,0.1356947789621353,0.9539,0.8550998727798462,0.7789,5.100550374016166
10,0.10756301147937775,0.96352,0.7819705563545227,0.8069,5.020407103933394
11,0.09237399974107742,0.96836,0.8193632987976074,0.7976,5.053963714744896
12,0.07713244603395462,0.97434,0.7808136603832245,0.8183,5.027906879317015
13,0.07153974967598915,0.9753,0.788065330028534,0.8129,5.0967691210098565
14,0.05563837863504886,0.9812,0.8549102544784546,0.8115,4.953898708801717
15,0.05544714824914932,0.9817,0.8999915140151977,0.816,5.069646488875151
16,0.05750621025204659,0.98092,0.8042514706611633,0.8191,5.022353154141456
17,0.050064276495575905,0.98354,0.9041151962280274,0.8168,5.019341995939612
18,0.048399034106135365,0.98328,0.933770192527771,0.7981,5.161238600965589
19,0.04687619204998016,0.98432,0.8557175394058227,0.8189,4.971790954936296
20,0.03961719141036272,0.98678,0.8311140035629272,0.8244,5.046970088034868
