epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.372898530845642,0.49192,1.2406178632736207,0.5697,5.242612070403993
2,0.8788576721382141,0.6907,0.8510245322227478,0.711,4.840462262742221
3,0.6748867748641968,0.76462,0.7008123750686646,0.7569,5.1628053416498005
4,0.5466304873466492,0.8137,0.7737786319732666,0.7443,4.963944748044014
5,0.4366470656299591,0.85042,0.6570035105228424,0.7807,5.126105088740587
6,0.35416659454345706,0.87882,0.7714126557350158,0.7728,5.177610370796174
7,0.2811197183895111,0.90368,0.8276897547721863,0.7618,5.1376478197053075
8,0.2158405720758438,0.92602,0.6196917928695679,0.8182,5.1386440941132605
9,0.17330068515777589,0.94156,0.7605157485961914,0.7905,5.101148265879601
10,0.13926404803752898,0.9538,0.6881550088882447,0.8122,5.078726262785494
11,0.11206243121147155,0.96166,0.7371670595169068,0.814,5.163455385249108
12,0.09509244907021523,0.96754,0.714771585559845,0.8271,5.136351232882589
13,0.08054441420555115,0.97346,0.7418102843284607,0.8256,5.130901665892452
14,0.06515146946787834,0.9778,0.7656166925430298,0.8235,5.139722516294569
15,0.06462826973617077,0.9784,0.8947886052131653,0.8163,5.14884600834921
16,0.06453985214591026,0.97902,0.8484146303176879,0.8249,5.124579175841063
17,0.058313761098086836,0.97948,0.8015367279052734,0.8249,5.115748268086463
18,0.044679410994052884,0.98516,0.8626684209823609,0.82,5.181564021855593
19,0.04696256871283054,0.98458,0.9440577554702759,0.8056,5.182458505034447
20,0.04141018539369106,0.9871,0.8285457389831543,0.8302,5.023432774934918
