epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.7421269902038574,0.35294,1.4651100975036622,0.4535,4.828647348098457
2,1.333324780921936,0.51422,1.1749501258850097,0.5679,4.386302418075502
3,1.1298884755706786,0.59,1.0622093662261962,0.6151,4.438600974157453
4,0.9744367521667481,0.65052,0.9674500735282898,0.6507,4.438285157084465
5,0.8357661208915711,0.70186,0.8523689040184022,0.697,4.372940205037594
6,0.7151361392211915,0.74558,0.8083294864654541,0.7189,4.381662733852863
7,0.6024616151618958,0.78958,0.7487261044502258,0.7348,4.428939336910844
8,0.4993364754962921,0.82598,0.7541785740852356,0.7439,4.411073675844818
9,0.4062215285778046,0.85912,0.7484434346199036,0.7591,4.184040923602879
10,0.3030888862514496,0.89518,0.8342495213508606,0.741,4.362513393163681
11,0.2264413603115082,0.92188,0.8238870687484742,0.7612,4.344931290950626
12,0.16044899985790254,0.94508,0.9281450386047363,0.758,4.3592937658540905
13,0.10490191356182098,0.96432,1.0006281646728516,0.7499,4.3842354151420295
14,0.08989023612976074,0.96908,1.0989168733596801,0.7499,4.4220938556827605
15,0.07776695291042328,0.97278,1.1923885066986084,0.7508,4.418001356068999
16,0.05677681562423706,0.98076,1.114436449241638,0.7625,4.39023580821231
17,0.04811078583359718,0.98408,1.17031812210083,0.7659,4.402842633891851
18,0.047608331017494204,0.98378,1.1887418590545655,0.7653,4.416789706796408
19,0.050797728601694105,0.9821,1.2310322761535644,0.7578,4.425346739124507
20,0.04483732201397419,0.98438,1.3084492282867433,0.7526,4.42758859321475
