epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.3072159545707702,0.52178,1.1603161386489869,0.5924,5.503709622193128
2,0.8166919198226928,0.71724,0.7894430630683898,0.7321,4.896695624105632
3,0.6212060759735107,0.788,0.6703191553115845,0.7691,5.040624204091728
4,0.48895999309539795,0.83414,0.6334929738044739,0.7902,4.9125498062931
5,0.37782715650558474,0.87164,0.6242092451572419,0.7894,5.048996720928699
6,0.2988063811969757,0.89832,0.6528154459953308,0.8025,5.251997814979404
7,0.22362637596130372,0.92422,0.7355192386627197,0.7848,5.124778621830046
8,0.1712606739592552,0.9419,0.6638424647331238,0.8071,4.995981729589403
9,0.13119771321296692,0.95564,0.6850970886230469,0.8196,4.8890697550959885
10,0.10661934644699096,0.96414,0.7445246726036072,0.8094,4.802667080890387
11,0.08709185903787613,0.97068,0.7498260829925537,0.8096,5.038722068071365
12,0.0698508194231987,0.97658,0.8368604882240296,0.8156,5.133574998937547
13,0.07061907970190048,0.97632,0.8749174894332886,0.8049,5.135937510989606
14,0.05646700710654259,0.98136,0.7874148908615113,0.8244,4.835310793016106
15,0.05186225867271423,0.9835,0.710529891204834,0.8304,4.816445452161133
16,0.04772846836745739,0.98454,1.0539109748840332,0.818,4.903417035937309
17,0.050302630999088285,0.98304,0.8535923194885254,0.8195,4.967433696147054
18,0.039580721648335454,0.987,0.8547926143646241,0.833,5.106762402225286
19,0.0393609850281477,0.98742,0.81678481798172,0.8281,4.855500019621104
20,0.04071425981309265,0.98666,0.8424294134140015,0.8317,4.847987854853272
