epoch,train_loss,train_accuracy,val_loss,val_accuracy,elapsed_seconds
1,1.5347030231475831,0.51584,1.3157000213623047,0.6405,5.408360682893544
2,1.1282857641983033,0.721,1.1000928672790526,0.7347,5.063091781921685
3,0.967728073387146,0.7933,0.9956080997467041,0.7815,4.979057244956493
4,0.8718873319625855,0.83782,1.0110124546051025,0.7818,4.9803460808470845
5,0.7846388418006897,0.87836,0.974013800239563,0.796,4.949191485997289
6,0.7308951006317138,0.89994,1.0610310934066773,0.775,5.014359132852405
7,0.6706910649490356,0.92876,0.9568171329498291,0.815,5.005837753880769
8,0.6304429216957093,0.94616,0.9383778078079223,0.8273,5.011996992863715
9,0.6066712084579468,0.95618,0.9435799879074097,0.826,5.021210407838225
10,0.5823462496376037,0.96712,0.9725779760360718,0.8256,4.965532307047397
11,0.5731628058052063,0.97068,0.9667490503311157,0.8269,4.974222993012518
12,0.5605892764472962,0.97552,1.0065904850959777,0.8162,5.038675453979522
13,0.5528477296829224,0.9791,1.0251361717224121,0.8147,4.986688183154911
14,0.5472432558631897,0.98172,1.0103331573486327,0.8196,5.0578382750973105
15,0.546052481918335,0.98174,0.9992778242111207,0.8173,5.018133853096515
16,0.5419576999855041,0.9839,0.9792032400131225,0.8332,4.984336392953992
17,0.5386651873016357,0.98496,1.00457682762146,0.8268,5.061108789872378
18,0.5356662387275696,0.98574,0.9807354942321778,0.8337,5.067344113253057
19,0.53251536611557,0.98694,0.9589997650146485,0.8374,5.305764260236174
20,0.5286171086883545,0.9891,1.036605456161499,0.817,5.266709805000573
